KOD;NAZEV;REGSOUDR_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
19;Hlavní mìsto Praha;19;CZ010;23.11.2016 00:00:00;;01.01.2000 00:00:00
116;Jihomoravský kraj;60;CZ064;12.08.2024 00:00:00;;01.01.2000 00:00:00
35;Jihoèeský kraj;35;CZ031;25.09.2024 00:00:00;;01.01.2000 00:00:00
51;Karlovarský kraj;43;CZ041;21.06.2023 00:00:00;;01.01.2000 00:00:00
108;Kraj Vysoèina;60;CZ063;17.01.2025 00:00:00;;01.01.2000 00:00:00
86;Královéhradecký kraj;51;CZ052;19.05.2025 00:00:00;;01.01.2000 00:00:00
78;Liberecký kraj;51;CZ051;19.06.2024 00:00:00;;01.01.2000 00:00:00
132;Moravskoslezský kraj;86;CZ080;22.05.2024 00:00:00;;01.01.2000 00:00:00
124;Olomoucký kraj;78;CZ071;18.04.2024 00:00:00;;01.01.2000 00:00:00
94;Pardubický kraj;51;CZ053;19.05.2025 00:00:00;;01.01.2000 00:00:00
43;Plzeòský kraj;35;CZ032;25.09.2024 00:00:00;;01.01.2000 00:00:00
27;Støedoèeský kraj;27;CZ020;17.01.2025 00:00:00;;01.01.2000 00:00:00
141;Zlínský kraj;78;CZ072;12.08.2024 00:00:00;;01.01.2000 00:00:00
60;Ústecký kraj;43;CZ042;14.11.2024 00:00:00;;01.01.2000 00:00:00
